stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0.28,0,0.28,0.85,0.85,0,0,0,0,0,0,0,0.28,0.56,0,2.25,0,0,0,56.65,6.48,2.82,0.85,0,0.28,0,0,0,0.28,0.28,0,0,0
21Day,1.85,0,0,3.7,2.96,1.11,0.37,0.37,0,0.74,0,2.22,0,0.37,1.11,0.74,4.07,0,0.37,0,69.19,7.4,8.14,3.7,0,1.48,1.85,0,0.74,1.11,2.22,0,0,1.48
3Month,0,0.1,0.1,0.83,0,0,0,0.52,0.1,0.42,0.52,0.31,0.73,0.1,0.31,0.52,0.1,0,0,1.77,2.18,0.42,4.47,5.41,0,0,0.21,0.52,0,0,0,0.1,0.1,3.74
22Month,0,0,0,0.55,0,0,0,1.09,0,2.73,0.14,0.14,0.41,0,0,0.55,1.23,0.14,0,0,1.37,0.14,8.88,20.09,0.14,0,0,0,0,0,0,0.14,0,2.19
