stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,14,0,0,0,0,239,28,0,0,0,1,0,0,0,0,25,0,0,0
72hpf,1.41,0,0.85,0,1.41,0,0,0,0,0,0,0,0,0,0,2.82,0.28,2.82,0,0.28,0.28,0,76.94,5.92,0,0.28,0,4.79,0.28,0,0.85,0,8.46,0,0,0
21Day,0,0,1.11,0,0.37,0,0,0,0,0,0.37,0,0,0,0,0,0,1.85,0,0,0,0,13.32,0.74,0,0,0,0,0.37,0.74,0,0.37,0,0,0,0.37
3Month,0,0,1.66,0.1,0,0,0.21,0.52,0,0,11.75,1.14,0.1,0.73,0.52,0.73,0.52,1.56,0.52,0,0.1,0.21,5.82,0,0.21,0.1,0,0,0.52,84.05,0.21,0,0,0.1,27.56,1.04
22Month,0,0.82,1.23,0,0,0.55,0.14,0.68,0.55,0,29.93,0.41,0,0.96,0,0.55,0.68,0.27,0,4.51,0,0,3.01,0,0.27,0.14,3.14,0,0.27,14.62,0.14,0,0,0.27,0.14,0.82
