stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0
72hpf,0,0,0,0,0,0,0,0.28,0.56,0.28,0.28,0,0,0
21Day,0.37,0.37,0,0,0,0,0.37,0,0,0,0,0.37,0.37,0
3Month,0,0,0.1,0.31,0.1,0.1,0,0,0,0,0,0,0,0.21
22Month,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0
