stage,Enterocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,1,0,0,0,0
72hpf,0,0,0,0,0,0,0.28,0.56,0,0,0,0
21Day,0,0,0,0,0,0.37,0,0,0,0,0,0
3Month,0.1,0.1,0.42,0,0.1,0,0,0,0.1,0.1,0.1,0.1
22Month,0,0,0.41,0.14,0,0,0,0,0,0,0,0
