stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0.37,0,0,0,0,0,1.11,0,0,0.37,14.43,0.37,0,0,0,0,0.74,0.37,0,0,0.37,0,0,0,0,0
3Month,0.1,0.21,2.81,0.21,0,0.42,0.83,0,12.59,0.52,0,1.25,0.1,0.52,114.11,0.94,0.31,0.1,0.1,0.52,0.1,0.1,0.21,0,0.52,0.52,0,0.52,0.73,0.52
22Month,0.55,0,0.96,0.41,0,0,0.41,0.27,57.26,0.27,0,0.82,0,0.27,35.39,0.27,0,1.23,0.27,0,0,0,0,0.14,0.14,0.14,0.41,0,0,0
