stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,4,0,0,0,0,0,0,0,0,0,0,1,0,0
72hpf,1.13,0,0.28,1.41,1.13,0,0,0,0.28,0,0,0,0,0
21Day,1.48,0,0,0,0,0,0.37,0.37,0,1.11,0.37,0,0,0
3Month,0.42,0.21,0,0,0.52,0,0.31,0,0.1,0,0.83,0,0.1,0.21
22Month,0,0.14,0.14,0,0,0.14,0.27,0,0.27,0,0.68,0,0,0
