stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,4.23,0,0,0,0,0,0.28,0,0.28,0.28,0,0,0.28,0,0.56
21Day,1.85,0,0,0,0,0,1.11,0,0,0,0,0,0,0.37,3.33
3Month,0,0.1,0.31,0,0,0.1,0.1,0,0,0,0.1,0.1,0,0,0
22Month,0,0,1.91,0.14,0.14,0,0.14,0.14,0,0,0,0,0,0,0
