stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,0,0,14,2,0,0,0,0,0,0,2,1,28,0,0,9,366,0,0,0,0,0,0,1,0,0,0
72hpf,3.38,1.13,0,4.79,4.51,1.69,0.28,0,0,0,1.13,6.48,0,11.84,0.28,0,40.87,105.69,0.28,12.68,0,15.22,1.13,0,0.28,0,0,0
21Day,3.7,0.37,0.37,13.32,1.11,1.48,0,0,0.74,0.37,1.11,5.18,0,16.65,0.37,0,24.79,56.24,0,5.92,2.96,8.51,2.22,2.22,0.37,0,0,0
3Month,0,0,0,1.04,0,0,0,0.1,0.1,0.1,0,0.31,0.1,0.31,0,0.1,0.21,0.31,0,0,0,0.1,0.1,0,0,0.1,0.1,0.1
22Month,0,0,0,0.14,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
