stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,83,0,0,0,0,3,24,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,5.92,0.56,2.82,0.56,4.51,0,0,0,0,0,0,0,0,0,0,0.85,7.33,1.41,5.36,0,0.56,0,0,675.03,20.01,2.82,12.68,0,8.46,0,0,0,8.46,0.28,0.56,0.85,0,0,0
21Day,2.96,0.74,7.03,0,5.18,0,0.37,0,0,1.11,0,0.37,4.07,1.11,0.37,0.37,2.22,1.85,9.25,0,0.37,1.11,0,169.45,8.51,1.11,7.4,0,2.96,2.59,0,1.11,7.4,1.85,2.59,0.37,0,0,1.11
3Month,0.21,0.21,3.64,0,0,0.1,0.1,0.1,0.21,3.85,0,6.24,83.11,0,2.91,0.62,0.62,1.46,5.82,1.35,0.21,0.73,0.83,11.44,0.31,11.96,4.26,0,0.1,0.42,0.1,88.41,0.73,0.1,0,0.42,0.73,14.25,1.66
22Month,0.14,0.55,1.5,0,0,0.27,0,0,0.27,1.64,0.14,33.34,18.31,0.14,0.82,0,0,0.55,8.75,0.55,0.27,0,0,11.62,0.41,14.48,3.55,1.37,0.41,0.27,0,12.57,2.73,0,0,0.14,0,0.14,0.68
