stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,2,0,0,0,0,0,0,1,0,3,0,0,18,0,0,0,0,0
72hpf,0.28,0.28,0,0,0,0,0,0,0.28,0,0.28,0,2.82,1.69,0.85,0,0.56,0,0
21Day,0,0.74,0,0.74,0,0,0,0.37,1.48,0,2.22,0,1.11,0,0,0,0,0,0
3Month,0,0.62,0.1,0,0.1,0.21,0.21,0.1,0,0.1,0,0.1,0.1,0,0,0.21,0,3.02,0.21
