stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0
72hpf,0.28,0.28,0,0,0,0,0,0,0,0.28,0,0,11.84,0.85,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0.37,0,0,0.37,2.59,1.48,0,0,0
3Month,0,0.21,0,0.1,0,0.31,0.1,0.21,0,0.21,0.1,0,0.21,0,0.1,0.31,0.1
22Month,0,0,0,0,0.14,0.55,0,0,0,0,0,0,0,0,0,0,0
