stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,0,0.56,0,0,0,0,0,0,0,0.28,0.56,0,0.85,0,0,0,64.83,2.25,0.28,0,2.54,0,0,0.56,3.1,2.54,0.56,0,0,0
21Day,1.11,0.37,0.37,5.92,0.37,4.07,0.37,0,0,0.74,0,2.96,0.74,1.11,4.07,1.11,7.03,0,1.11,0,159.46,4.44,0.37,0,3.7,5.55,0,0,1.11,6.29,1.48,0,0,1.11
3Month,0,0,0,2.6,0,0,0,0.1,0,0.83,0.21,0.1,0.73,0.1,0.1,0.52,0.73,0,0.1,0.1,1.46,0,0.1,0,0,0,6.24,0.42,0,0,0.1,0.1,4.47,0.21
22Month,0,0,0.14,2.19,0,0,0,0.41,0.68,2.46,0.14,0,0.68,0,0,0.14,1.09,0.14,0,0,0.96,0,0.14,0.14,0,0.14,3.55,0.82,0.27,0,0,0,0,0.14
