stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,11.56,0,0.28,0,0,0,0,0,0,0,0,0.56,0,0,0.28,0,3.1,0,0,0.28,0.28,0,0,0,0.28,0.56,0,0,0,0,0,0,0
21Day,0,0,0,0.37,22.57,0,4.44,0,0,0,0,4.07,0,0,0,0,0.74,0,1.11,0,0.37,0.37,0,0.37,0.74,0,0,0,0.37,0.74,0,0,0,0.74,0,0,0.37
3Month,0,1.14,0.52,7.8,0,2.08,0.31,1.25,0.83,0,0,377.06,1.35,0.1,4.16,0.62,1.87,1.77,1.87,0.31,0.62,0.73,0.73,0.73,0.1,0.21,0.83,0,0.42,4.16,1.35,0.1,0,0,0.62,0.52,0.62
22Month,0.41,2.05,0.68,7.52,0,1.37,0.41,1.64,3.42,0.55,0,414.87,1.64,0.41,2.87,0.14,0.55,2.46,2.05,0,26.78,0.55,0.27,0,0,0.27,1.09,0.55,0.14,0.96,0.55,0,0.14,0,0,0,1.23
