stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.28,0,0.85,0,0.56,0,3.1,2.25,0,0,0,0,1.13,0.85
21Day,0,0,0,0,0,0,0,0,0.37,0,0,0,0.74,0,0.37,0.74,0.37,0.37,0,0,0,0.37
3Month,0.1,0,0,0.1,0,0,0.21,0.1,0,0,0,0,0.21,0,0,0,0,0.1,0.1,0,0,0
22Month,0.14,0.14,0.14,0,0.41,1.78,4.24,0.27,0,0.41,0,0.82,1.23,0.27,0.41,0,0.55,0,0.27,0.14,0.14,0
