stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,3,4,0,0,0
72hpf,0.28,0,0,0,0.28,0.56,0.28,0,2.54,1.13,0.85,0,0.28
21Day,0,1.11,0,0,0,0,1.11,0,0.74,0,0.37,0,0
3Month,0,0,0.73,0.21,0,0,0,0,0,0,0,0.52,0
22Month,0,0,0,0,0,0,0,0.14,0,0,0,0,0
