stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,T_cell
24hpf,0,1,0,0,0,0,2,0,0
72hpf,0,0,0,0,0.56,0.56,1.97,0.56,0
21Day,0.37,0,0,0.37,0.74,0.37,0,0,0
3Month,0,0.21,0,0,0,0,0,0,0.1
22Month,0,0.14,0.82,0,0,0,0,0,0
