stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,5,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0,0.28,0.85,0,0,0,0,0,0,0
21Day,0.37,0,1.48,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0.37,0,0,0,0,0.37,0,0,0
3Month,0.1,0.42,3.22,0,0,0.1,0.31,2.81,0.83,1.46,0.62,0.42,0.21,0.42,0,0.21,0,0,0.1,0.21,8.32,0.1,0.31,3.12,0.21
22Month,0,0.55,0.96,0,0.14,0.41,0.14,4.24,0.41,0.68,0,0.14,0.55,0,0.41,0,0.27,0,0.14,0,1.23,0,0,0.14,0.27
