stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
72hpf,0,0.56,0,0.56,0.28,0,0,0,0,0.28,0,0.28,0.28,0,0,0,3.1,0.85,0.85,0.28,0,0.28,0,0
21Day,0.37,0.37,0.37,1.85,0.74,0.74,0.37,0,0,0.37,0,0,1.48,0.37,0.74,0.37,1.48,0.37,0,0.37,0,0,1.11,0
3Month,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0.21
22Month,0,0,0,0,0,0.14,0,3.14,0.14,0,0.14,0,0,0,0.14,0,0,0,0,0,0.14,0,0,0.14
