stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Radial_glia,Retinal_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,2,1,0,0,0,0,0
72hpf,0.28,0.28,0.56,0,0,0.85,0.28,51.86,7.61,0.56,1.69,0.85,0.28,0
21Day,0.37,0.37,0,0.74,0.37,0,0.37,15.91,1.48,0,0.74,0,0.37,0.37
