stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell
21Day,1.48,0,0,0,0.37,0,0,0,0
3Month,0.52,0.21,0,0.1,0,0.1,0,0.1,0.1
22Month,0.14,0.68,0.14,0,0,0,0.14,0,0
