stage,Epithelial_cell,Erythrocyte,Granulocyte,Immune_progenitor_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,1,0,1,0
72hpf,0,0.56,0,0.28,0.28,1.41,0.85,0,0,0
21Day,0.37,0,0,0,0,0.37,0.74,0.37,0,0
3Month,0.1,0,0.1,0,0,0,0,0,0,0.1
