stage,Endothelial_cell,Enterocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Muscle_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
21Day,0,0,0,0,0,0,0,0.37,0,0,0,0
3Month,0,0.94,0.1,0.1,0,3.33,0.1,0,0,0,0.1,0.1
22Month,0.14,0.55,0.55,0,1.09,16.26,0,0.14,0.14,0.14,0,0
