stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,16,0,0,0,0,5,19,0,0,2,0,0,0,0,0,3,0,0,0
72hpf,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0.56,0.28,0,1.41,0,0.56,0,0,7.61,0.28,0,0,0.56,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0.37,0,0,0.74,0,0.74,0,0,0.37,0,1.85,0,0,0,0,10.36,0.74,0,0,0,0.37,1.48,0,0.37,0.37,0,0,0,0
3Month,0.21,0.21,0.21,2.91,0.1,0,0.1,0.21,0.31,0.52,0,0,4.06,0.31,0.21,0.94,0.1,2.18,0.62,9.99,3.43,0,0.21,0.1,0.62,0,2.29,0.31,0,0.31,29.54,0,0,0,0.21,0.62,2.39,0.62
22Month,0.14,0.27,0.14,1.23,0,0.27,0,0.14,0,0.14,0.14,0,5.47,0.27,0.55,0.82,0,0.14,0.55,12.3,0.68,0,0.14,0,1.23,0,3.28,0.68,0,0,20.36,0.14,0,0,0.14,0,0,0.27
