stage,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,1,0,0,0,0,0,0,0,3,0,0,24,0,0,0,1,0,0
72hpf,0,0,0,0,0,0,0.28,0,0.56,0,1.69,2.54,0,0,0.28,0,0,0
21Day,0,0.74,0.37,0,0,0,0,0,0.74,0,1.48,0.37,0,0,0.74,0,0,0
3Month,0,0.62,0,0,0.31,0.1,0.1,0.21,0,0.1,0,0,0,0.52,0,0,0.1,0.1
22Month,0,0,0.14,0.14,0.41,0,0,0,0,0,0,0,0.14,0,0,0,0,0
