stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,17,0,0,0,0,0,0,0,0,0,1,3,2,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,13.53,0,0,0,0,0,0,0,0,0,0,19.17,0,0.28,0,0,0,0,0.85,2.25,0,0,0.56,0,0,0,0,0,0,0
21Day,0,0,0,25.9,1.11,0,0,0,0,0,0,0,0,0,9.99,0,0.74,0,0,0,0,1.11,0.37,0,0,0,0.37,0,0,0,0,0,0.37
3Month,0.1,0.21,0.21,135.95,0,0.73,0,0.62,2.39,6.45,3.02,0.31,3.33,2.18,98.5,3.12,3.12,0.42,0,0.73,0.62,0.31,0,0.31,0.31,0.1,1.66,2.29,0,0,4.16,1.46,2.29
22Month,0,0.96,0.27,22.68,0,0,0.14,0,2.05,7.11,0.96,0,1.5,0.41,12.16,0.68,0.96,0,0.14,0,0.14,0.14,0,0.14,0,0,0,0.68,0.14,0.14,0.14,0,0.14
