stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,11,10,0,28,2,3,0,0,0,0,0,1,0,0,0,0,1,12,27,62,0,0,1,0,8,832,0,0,14,0,0,0,0,0,0,1,0,0,0
72hpf,11.27,5.07,0,15.78,1.13,10.43,0,0.85,0,0.28,0,0,0,0,0.28,0,7.05,17.19,2.82,56.37,0,1.13,1.13,0,93.86,427.28,1.13,0,31.57,0,0,0,15.22,0.56,0,1.69,0,0,0
21Day,4.44,0.37,0.74,12.58,0.37,14.06,0,2.59,0,0,0,0,0.37,0.37,5.18,0.74,0.74,2.96,0.74,6.66,0,0,0.74,0.37,14.06,80.66,0.37,0,1.85,1.48,0,0,4.44,0.74,0.37,0,0,0,2.96
3Month,0.1,0,0.1,11.65,0,0,0.1,0.42,0.31,3.33,0.1,0,3.74,3.95,1.04,1.66,0.31,1.46,1.98,3.74,0.42,0.1,0.21,0.21,0.62,1.14,0.1,0,0.1,0.52,0.1,26.52,0.1,0,0,0.1,0.94,6.45,7.49
22Month,0.14,0.55,0.82,3.55,0,0,0,0.14,0.27,5.88,0.82,0,11.62,5.19,1.09,4.92,0.27,0.27,3.69,0.82,0,1.09,0,0,0,0.68,0.55,4.24,0,0.27,0,2.87,0.14,0.14,0,0,0.14,0,2.32
