stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,2,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0.56,7.33,0,1.69,0.56,1.13,0.28,0,0,0.28,0.28,0,0.28,0,0
21Day,0,0.74,0.74,0,0,0,0.37,0,1.85,0,0.37,0.74,0,0,0,0.37,0,0,0,0
3Month,0,0.1,0.31,0.31,0.1,0,0.52,0.1,0.1,0.73,0,0,0.52,0,0,0.1,0.1,0,0.52,0.1
22Month,0,0,0.14,0.27,0.14,0,0,0.14,0,0,0,0,0.14,0.14,0,0,0.14,0,0,0
