stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Hepatocyte,Immune_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,1,0,0,0,0,0,2,4,0,0
72hpf,0,0,0.28,0,0,0,1.13,0.28,0.28,0
3Month,0,0,0,0.1,0,0.1,0,0,0,0.1
22Month,0,0.14,0,0,0.41,0,0,0,0,1.5
