stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,40,0,1,14,0,0,0,0,0,0,0,0
72hpf,2.25,0,0,0.28,0,0,0,0,0,0,0,8.74,1.13,2.25,2.82,0,0.28,0,0,0.28,0.28,0,0
21Day,5.18,0,0,2.22,0,0,0,0,0,1.11,0.37,1.48,2.59,0.74,1.48,0,0,0.37,0,0,0,0,0
3Month,3.33,0.31,0,0.21,0,0.62,0.1,0.21,0.1,0.1,0,0.62,0.1,0.1,0,0,0,0.1,0.42,0,0,0.1,0.1
22Month,2.46,1.64,0.14,0,0.14,1.91,0.14,0.41,0,0,0.14,0.55,0,0,0,0.14,0,0,0.96,0.41,0,0,0
