stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0.85,1.13,0.28,2.25,0,0,0,0,3.38,2.54,0,2.54,0,0,0,0.56,0,0,0
21Day,3.33,0.37,0.74,2.59,1.48,0,0,0,0,0,0.37,1.11,2.59,0.37,0.37,0.74,0.37,11.1,0.37,0,0.74,0,2.22,1.85,0,5.92,1.48,0.37,0,2.96,0,0,0.37
3Month,0.1,1.46,0.94,4.68,0,0,0,0.21,3.22,0,9.67,4.26,0.21,1.46,0.83,2.08,3.64,6.14,2.18,0,0.42,0.21,0.21,0,0.21,0,0.21,1.35,0.1,0,0.42,0.21,3.43
22Month,0,2.05,1.91,4.1,0,0.14,0.27,0.68,3.14,0.82,21.04,18.99,2.19,1.78,0.27,0.68,7.52,7.38,0.55,1.78,0.41,0,0.41,0,0.41,0,0,0.14,0.55,0,0.14,0,2.46
