stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Osteoblast,Pancreatic_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,1,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0.85,0.28,0,0,0
21Day,0.37,0,0.37,0,0.37,0,0,0,0,0,0
3Month,0.1,0.1,0,0,0,0.1,0,0,0.1,0.21,0.1
