stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,5.07,1.69,0.56,0,0.28,0,0,0,0,0,0,0,0,4.51,12.12,0,0.56,0,0,0,0.28,3.1,3.1,0,0,0,0.28,0,0.28,0,0,0,0
21Day,0,0,0.37,11.1,0.74,0.37,0,0,0.74,0,0,0,0.37,0.37,0.74,0,2.22,3.33,0,1.48,0,0,0.37,0,2.22,1.11,0,0,0.37,0.37,0.37,0,0,0,0,0
3Month,0.1,0.42,1.77,51.18,0.42,0,0.31,0,9.05,0.73,0.1,0,14.04,1.25,0.1,31.62,3.95,12.79,2.18,1.46,0.21,0,2.6,1.77,1.46,0.1,2.91,0.1,0.1,0.83,8.74,0,0.1,0.94,1.46,0.94
22Month,0,0.68,1.09,8.88,0,0,0,0.14,1.09,0.14,1.23,0,25.55,0.82,0.27,10.66,0.55,1.09,1.09,0.68,0,0.82,0.96,0.14,0.41,0,1.37,0.27,0,0,0,0,0,0,0,0
