stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,2,0,8,0,0,0,0,0,0,0,1,0,0,0,0,2,10,14,7,0,0,0,0,3,29,0,0,0,2,0,0,0,0,0,0,2,0,0,0
72hpf,1.97,0.56,0,7.89,1.69,1.97,0,0.56,0,0,0,0,0,0,0.28,0,7.89,47.35,1.97,4.79,0,3.38,1.13,0.56,21.7,10.71,0.28,0.28,0,7.61,0.28,0,0.28,2.25,0.28,0.28,1.69,0,0,0
21Day,2.59,0.74,3.33,54.02,1.11,8.88,0,3.33,0.74,1.85,0,0,9.99,0.37,4.44,20.35,1.85,19.98,4.44,22.2,0.37,0,1.48,0.74,13.32,7.77,0.74,0.37,0,14.8,7.4,0,0,3.33,0.74,1.48,1.11,0,0,1.85
3Month,0.42,3.02,4.78,53.26,0,0,1.04,0.52,5.62,12.79,0.1,0,265.87,7.59,0.83,53.36,4.89,10.4,12.48,8.84,3.02,0.31,2.5,17.37,2.18,0.31,5.51,1.46,0,0.94,2.91,0.1,24.65,1.14,0.1,0,0.52,2.6,3.02,5.72
22Month,0.14,1.91,2.87,13.25,0.14,0,0.55,0.55,2.32,20.77,2.87,0,291.06,3.14,2.05,38.13,0.27,2.46,16.53,9.98,0.41,3.69,1.09,0.14,1.09,0.27,4.24,1.91,0.27,0.55,0.41,0,1.5,1.5,0.55,0,0,0.55,0,2.05
