stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4,0,0,0,0,0,0,0,1,0,0
72hpf,1.13,0.28,0.28,0.85,0.28,0,0,0,0,0,0,0.28,0,2.82,0,0,0,0,143.74,3.1,1.41,3.95,0,0,0.85,0,0.28,0,0,0
21Day,0,0.37,1.11,0.37,0,0,0,0,0,0.74,0.37,0,0.37,5.18,0,0,0.37,0,49.95,2.59,0,0,1.48,0,2.22,0.37,2.22,0,0,0
3Month,0,0.21,0.1,0,0,0,0.1,0,1.46,0.1,0.62,0.1,0,0.73,0.21,0,0,0.1,0.31,0,0.21,0,0.31,0.83,0,0,0,0,0.21,0.31
22Month,0,0.14,0.14,0,0,0.14,0,0.14,2.73,0,0.14,0,0.14,0,0,0.14,0,0,0,0,0.55,0,0,1.37,0.14,0,0,0,0.14,0
