stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,14,0,1,0,0,0,0,0,0,0,0,0
72hpf,1.41,0,0.85,0.28,10.99,0,0,0,0,0,0,0.28,0,0.56,1.97,0.28,1.41,0,0,0.28,12.4,4.51,0,1.69,0,0,0.56,0.56,0.28,0,0,0,0
21Day,1.48,0.37,1.85,0.37,13.32,0,1.48,0,0,1.48,0,0.37,0,0,0.37,0.74,3.33,0,0.37,0,4.44,1.48,0,0.37,0,0,0.74,0,0.37,0,0,0,0.37
3Month,0,1.04,6.66,0,0,0.62,0,0.83,0.42,6.55,0.52,0,1.46,0.83,1.77,1.46,2.7,0.42,0.52,0.1,0.1,0.1,0.21,0.1,0,1.98,0.21,0,0,0.21,0.42,1.04,0.62
22Month,0,0.14,0.82,0,0,0.27,0,0,0.68,5.33,0.14,0,0.82,0,0,1.5,0.27,0.14,0,0,0,0,0,0,0.14,0,0.14,0.27,0,0,0,0,0
