stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,4,29,0,0,0,13,0,0,0,0,0,0,0,0,0
72hpf,4.23,0.28,0,2.82,5.36,2.54,0,0,0,0,0,0,0,0,0,0,1.13,3.66,0.56,12.68,0,0.28,0,252.25,19.45,0,10.71,0,29.88,0,0.56,10.43,0,0.28,0.28,0,0,0
21Day,3.33,0.37,0,7.4,2.22,3.33,0,0,0,0,0,0,0,0,2.22,0.74,0,1.85,1.85,32.56,0,0,0.37,87.69,9.62,0.74,7.03,0,21.83,4.07,0.37,7.03,0.74,1.85,0.74,0,0,1.85
3Month,0.73,0.42,0.1,3.43,0.52,0,0.21,0,0.94,0.42,0.94,0,3.22,0.94,0,1.25,0.1,1.87,0.62,20.18,3.22,0,0.52,2.81,0.83,2.5,6.24,0,1.87,0.42,11.44,3.02,0,0,1.35,1.66,0.52,0.73
22Month,0,0.14,0.55,1.78,0.55,0,0,0.14,0.41,0.14,0.82,0.82,12.44,0.14,0,1.64,0.27,0.27,0.82,20.91,0.55,0.68,0.41,4.51,0.14,1.91,2.46,0.55,0.82,0.14,10.25,11.62,0.41,0,0,2.19,0,0.55
