stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0
72hpf,0.28,0,0.56,0,0,0,0,0,0,0.85,0,0,0,0.56,0,0,0,0,0
21Day,0.74,1.85,0.74,1.11,0.37,0,1.11,0,0.37,1.11,0,1.11,0,1.85,0,0,0.37,0,0
3Month,0,0.52,0,0,0,0.1,0.1,0.21,0,0.1,0.1,0,0.1,0,0,0.21,0,0.31,0.62
22Month,0,0,0,0,0.41,2.32,0.14,0.55,0,0,0,0,0,0,0,0,0.14,0,0
