stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,0,0.28,0,0.28,0,0,0,0,0,0,0,0.56,0,0,0
21Day,0,1.11,0.37,0,0.74,0.37,0.37,0,0.74,0.37,0.37,14.06,0.37,0.37,0
3Month,0,0.21,0.21,0,0,0,0,0,0,0,0,0.73,0,0,0
22Month,0.14,0.14,0.68,0.96,0.14,0.14,0.68,0.14,0,0,0,0.14,0,0,0.14
