stage,Cardiomyocyte,Endothelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia
24hpf,1,0,0,0,0,0,0,0,1,0,0,3,0,0
72hpf,0,0,0,0,0,0,0,0,0.85,0,0.85,0,0,0.28
21Day,0,0,0,0,0,0,0,0,0,0.74,0.37,0,0,0
3Month,0,0,0,0,0,0.1,0,0.1,0,0.1,0,0,0,0
22Month,0,0.27,0.14,0.27,0.14,2.46,0.14,0.96,0,0.27,0.14,0,0.14,0.14
