stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Primordial_germ_cell,Radial_glia,Retinal_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0.28,0,0,0,0,7.05,0.85,0,0,0,0,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0,0.37,0,0,2.22,0,0,0,0,0,0.37,0.37,0
3Month,0,0.52,0,0.1,0,0.42,0.1,0,0,0.1,0.1,0,0,0,0,0.1,0,0,0.21,0,0,0.1
22Month,0.14,0.55,0.14,0.41,0.27,8.2,0.27,1.5,0,0.82,0.68,0.14,0.27,0,0,0.14,0.14,0.27,0.68,0,0,0
