stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,7,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,39,0,0,0,0,0,1,0,0,0,0,0
72hpf,0.85,0,5.64,1.97,0.85,0,0,0,0,0,0,0,0.85,2.25,0,1.41,0,0.28,0.28,0.28,71.31,15.5,0,0.28,1.41,0.28,0,2.54,0,0.28,0,0,0
21Day,2.22,0,7.77,0,1.85,0.74,0,0,0,0,1.48,0.74,0,2.59,0,6.66,0,0,0.74,0,40.33,10.36,0,0.37,1.48,1.85,0,2.22,0.37,0.74,0.37,0,0.37
3Month,0,0,0.62,0.1,0,0,0.21,0,1.66,0.21,0,0.1,0,0.31,0.1,0.1,0.31,0,0.1,0,0.1,0,0.1,0,0,0,0.21,0,0,0,0,0.42,0
22Month,0,0.14,0.41,0,0,0,0.41,0.27,6.42,0.14,0,0.27,0,0.14,0.27,0.27,0,0.14,0.27,0,0,0,0,0.27,0,0.14,0.14,0.14,0,0,0,0,0
