stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.97,0.28,0,0,0,0,5.36,0,0
21Day,0,0,0.74,0,1.85,0,0,0,0,1.11,0.74,3.7,0.37,0,0,0.37,0,28.86,0.74,0
3Month,0,0,0,0,0,0.1,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0.14,0.14,0,0,0.55,1.37,0.27,0.14,0.55,0,0,0,0.14,0.14,0,0.55,48.1,0,0.14
