stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,1,1,13,0,0,0,0,2,51,0,0,1,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.56,0.28,0,0,0,0,0,0,0,0,0,0.56,0.56,0.28,2.54,0,0.56,0,0,2.54,5.64,0,0,1.13,0.28,0,0.28,0.56,0.28,0,0
21Day,1.48,0,0,1.11,0,2.22,1.48,0,0.37,0,0.74,0.37,1.11,0,0,0.74,0.37,9.25,0,0,0.74,0,2.96,6.66,0,0.37,2.22,0.37,0,0.74,0.37,0.74,0,0
3Month,0.1,0.1,0.1,0.62,0,0,0,0.1,0.1,0,6.66,0,0.1,0.21,0,0.31,0.62,2.08,0.73,0,0,0.31,0.31,0,0.21,0,0.1,0.1,1.35,0,0,0,0.83,0.42
22Month,0,0.68,0,0.27,0,0,0.14,0,0.14,0.14,11.07,0.14,0.14,0.14,0,0.14,0.41,1.91,0,0.14,0.14,0,0.14,0,0,0,0.14,0,0.14,0.27,0,0,0,0.14
