stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0.56,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0,1.48,0,0,0.37,0.37,0,0.37,0.74,2.22,2.22,0,0,0.74,0.37,0,0.37,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,5.55
3Month,0,0.21,2.5,15.19,0.62,0,10.61,9.05,0.1,37.24,30.16,1.35,42.96,0.52,0.73,10.71,1.56,0.21,0.1,0.83,2.18,0.31,0,2.08,0.42,0,0.1,0.83,0.1,0.73,0.21,0.1,0.62,1.04,46.6
22Month,0,0.27,1.37,5.6,0.14,0.14,4.78,19.27,0.14,38.13,22.82,1.5,28.83,0.27,0.14,6.15,1.09,0.14,0.55,0.68,0,0,0,2.05,0.27,0.14,0,0.14,0,0.14,0,0.14,0,0,11.34
