stage,Epithelial_cell__Brain_,Hepatocyte,Keratinocyte,Mesenchymal_cell,Smooth_muscle_cell
24hpf,0,0,1,0,0
72hpf,0.28,0,0.28,0,0
21Day,0.74,0,0,0,0
3Month,0.21,0.21,0,0,0
22Month,0.14,0.41,0,0.27,0.14
