stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast
24hpf,1,17,0,0,7,0,7,0,1
72hpf,0,1.97,0.28,2.82,1.97,0.28,0,0,0.56
21Day,0,3.33,0,1.85,2.96,0.37,0,0.37,1.11
