stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,2,1,12,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.85,3.38,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.28,4.23,3.66,0,0,0.28,0,0,3.38,0,0,0,0
21Day,0,0,0,0.74,3.33,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,1.85,1.48,0,0,0,0,0.37,0.74,0,0,0,0
3Month,0.1,0.1,0.1,33.08,1.46,0.1,0.1,0.1,1.35,2.18,0,8.95,3.33,0.31,2.7,9.99,1.56,2.81,2.81,0.1,0.83,2.6,2.08,0,0.1,0.73,0.21,0.62,8.74,0.42,0.62,1.14,278.35,1.77
22Month,0,0.41,0,8.61,0.41,0.14,0,0,0.14,1.78,0.41,2.46,0.55,0.55,1.23,0.27,0,2.46,1.91,0,0,0.14,1.23,0.14,0.27,0.14,0,0,7.79,0.82,0,0,0.68,0.68
