stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0.28,4.23,0.56,0,0,0,0.56,0
21Day,0.37,0.37,0.37,0.37,0,0.37,1.11,0.37,0,0,1.85,0,0,0,0,5.18,0.37,0.37,0.37,0,0.37,0
3Month,0,0,0.21,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
22Month,0.14,0.14,0.41,0,0.14,0.55,3.14,0.27,0.27,0.41,1.64,0,0.14,0.14,0,0.14,0,0,0,0.14,0,0.14
