stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,1,8,0,0,0,0,3,31,1,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.56,1.97,0.85,0,0,0,0,0,0,0,0,0,1.41,1.69,0,1.41,0,0,0,0,12.12,12.97,1.97,0,0,0.85,0.28,0.56,0,0
21Day,0.74,0,0,4.81,0,0.74,0.74,0,0,0,0,0,0,1.48,0,0.74,1.11,0,1.11,0,0,0,0,1.48,2.96,0,0,0,0,0,0.37,0,0
3Month,0,0.31,0,4.26,0.1,0,0,0.1,0.21,0,0,1.77,0.62,0,0.94,0.42,0.42,0.42,0.94,0.31,0,0.42,0.1,0,0,0,0.1,7.8,0,0,0.1,0.62,0.31
22Month,0,0.14,0.14,1.37,0,0,0,0,0.55,0.14,0,3.01,0.41,0.14,0.55,0,0,0,0.55,0,0.14,0,0,0.14,0,0.14,0,1.64,0.14,0,0,0,0.14
