stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,44,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0.28,0,0,29.31,0,0,0,0,0,0,0,0,0,0,0,37.49,0,0.85,0,0,5.36,2.25,0,0,0,6.76,0,0,0.56,0,0.28,0,0,0
21Day,1.48,0,0,32.93,0.37,0,0.37,0,0.37,0,0,1.48,0,0,0.37,9.99,0,9.99,0,0,3.7,1.11,0,0,0,1.48,1.85,0,0,0.37,0,0,0,0
3Month,0,0.52,0.1,4.89,0,0.21,0.1,0.21,0.52,0.73,0,2.5,0.73,0.21,0.21,8.32,0.31,5.3,0.21,0.1,0,0,0.1,0.1,0,0,0.1,1.35,0,0,0,0.31,4.47,0.52
22Month,0.14,1.37,0.14,1.64,0,0.14,0,0,0.14,0.96,0.27,8.75,0.14,0,1.37,2.05,0.55,2.87,0.14,0.14,0.14,0,0,0.14,0.14,0,0.14,4.1,0,0,0,0.27,0,0.14
