stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,0,0.28,0.28,1.69,0,0,0,0,0,0,0.56,1.41,0,0.85,0,0,162.06,11.56,0.85,1.41,2.25,0,0,5.92,0,0,0.56,0,0,0
21Day,0.37,0,0.74,1.48,0,1.11,0,0,0,0.37,0.37,0.74,0.37,0,0,2.22,0,0,106.19,9.25,0.37,1.48,1.48,4.07,0,6.66,0.37,0.74,0.37,0,0,0.74
3Month,0,0,0,0.31,0,0,0.1,0,0.52,0,0,0.21,0.1,0,0,0.31,0,0.1,0.42,0,0.21,0.31,0,0.1,0,0,0,0,0,0.1,0.1,0
22Month,0,0.41,0,0.82,0.14,0,0.41,0.14,4.51,0.27,0,0.27,0.14,0,0.55,3.28,0.14,0,0.68,0.14,0.68,0.82,0.14,0,1.91,0.27,0,0,0.14,0,0,0
