stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0.56,0,0.56,0,0,0,0.28,1.41,0.28,0.85,0,0,0,0,0
21Day,0,0,0,1.11,0,0,0,0,0,0,0,0,1.85,0,1.11,0,0.37,0,0.74,0.37,0,0.37,0,1.11,0,0,0
3Month,0,0.83,0,8.01,0,14.46,0.1,1.46,0.31,0.1,6.24,0.1,0.62,1.66,0.52,0.1,13.73,0.21,0.1,0,1.14,0.1,0.1,9.78,0.1,2.81,0.1
22Month,0.14,0.55,0.27,1.78,0,0.27,0,1.37,0,0,0.55,0,0.82,0.14,0.41,0,0.27,0,0.14,0.14,0,0,0.14,11.48,0,0,0.14
