stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0.37
3Month,0.1,0.42,0.21,0.1,0,0.62,0.21,0.52,0.21,0.21,0.42,0.21,0.21,0.21,0,0,10.19,0.1,2.29,2.29
22Month,0.14,0.14,0,0,0.14,0.68,0,0.14,0.14,0,0.55,0,0,0,0.14,0.14,1.23,0,0,1.91
