stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0.37,0,0,0.37,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0
3Month,0,0.1,0.1,3.33,1.25,0.1,0.31,0.21,7.39,0.21,0.1,0.52,0.42,0.42,0.1,0.94,0.21,0.1,0.21,0.31,0,0.42,0.1,0,0.21,26.73,0.1,0,0.1,2.7,0.1
22Month,0,0,0,2.46,0.14,0.14,0.27,0.27,3.28,0,0.14,0.41,0,0.14,0.55,0.41,0,0,0,0,0,0,0,0.14,0,8.75,0,0,0,0,0.41
