stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,5,0,1,0,0,0,0,0,0,0,0,0,27,0,0,0,0,1,57,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.28,0,0,0,0,0,0,0,0,5.07,0,0,0,0,24.52,7.89,0,1.97,0,3.66,0,0,0
21Day,2.59,0.37,0,0,0,0,0.37,0,0,0,0.37,0,5.55,0,0,0.74,0,1.85,2.22,0,1.11,0,1.48,0.37,0,0
3Month,0,0,1.56,0,0.1,0.1,0.52,0.42,0,0.42,0.21,0.21,0.42,0.1,0,0.1,0.21,0.21,0,0.1,0,0.83,0,0,11.03,0.1
22Month,0,0,0.82,0,0,0.14,2.05,0.14,0.14,0.14,0.14,0,0.27,0,0.14,0,0,0,0,0,0,0.14,0,0,0.14,0
