stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0.37,0,0.37,1.11,0,0,0,0,0
3Month,0.1,0.42,0,0.1,0.52,0.1,0.1,0.31,0.1,0.1,0,0.1,0,0.1,0,0.1,3.54
22Month,0,0,0,0.14,0.14,0,0.14,0,0,0,0,0,0,0,0.14,0.27,0.14
