stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0.28,3.38,0,0.28,0
21Day,0,0.37,0,0,0,0,0,0,1.85,0,0,0.37
3Month,0,0,0,0,0,0,0,0,0.1,0,0,0
22Month,0.14,0.27,0.27,0,0,0.14,0.14,0,0,0.14,0,0
