stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.56,0.28,0,0,0,0,0,0,0,0,0,0,0.85,0.85,0.28,0.85,0,0,0,0,4.23,1.41,0.28,0,0,0.56,0,0,0.28,0,0,0,0
21Day,0.37,0,0,2.59,1.11,0,0.74,0,0,0,0,0.37,0,1.48,0,0.37,1.48,0,0.74,0,0,0.37,0,2.96,1.11,0,0,0,1.48,0.37,0,0,0.37,0,0,0.74
3Month,0,0.31,0.42,4.78,0,0,0,0.21,0.94,0,0,5.2,1.04,0.42,2.81,0,0.94,1.04,1.46,0.62,0,0.1,0.31,0.21,0.1,0.21,0.42,0,0.1,0.62,0.73,0.1,0,0.52,1.04,1.25
22Month,0.14,0.68,0.14,1.64,0,0.14,0.14,0.41,1.5,1.5,0,24.73,1.23,0.55,3.28,0.14,0.27,2.05,2.32,0.41,0.41,0.14,0.14,0.41,0.14,0,0.14,0.14,0,0.27,0,0.14,0,0.14,0,1.09
