stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0.28,1.97,0.56,0,0,0,0.56,0,0,0,0,0,0.28,1.97,0.28,0.85,0,0.56,0,0,80.04,3.66,0.28,0.85,0,0.85,0,0.28,0.28,0,0,0,0,0
21Day,0,0,0,3.33,1.11,0,0,0,0.37,0,0.37,0,0,0,0,0,0,0.74,0,0,0.37,0,18.13,0.37,0,0.37,0,0,0.37,1.85,0.74,0.74,0,0,0.37,0.37
3Month,0,0.21,2.91,2.29,0,0.21,0.31,0.21,7.59,0,6.14,0.21,0,0.31,1.46,0.31,0.52,1.04,0.42,0.21,0.42,0.62,1.66,0.1,1.14,0.31,0,0,0.42,26.11,0.73,0,0,0.1,8.32,0.73
22Month,0,0.14,1.64,0.41,0,0.27,0,0,12.16,0,7.93,1.09,0.41,0.82,0.27,0.14,0.27,2.46,0.27,0.68,0.41,0,0.96,0.14,0.96,0.41,0.14,0,0,28.15,1.09,0,0.27,0,0.14,0.41
