stage,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0.28,0,0,0.85,0,0,0
21Day,0,4.81,0.37,0,0,0,0,0.37,0,1.11,0,0.37,0,0,0.37,0.37,0.74,0.74,0,0
3Month,0.1,1.14,0,0.1,0,0.42,0.1,0,0.21,0,0,0,0.1,0,0.1,0,0.1,1.66,0.1,0.1
22Month,0,0.14,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0
