stage,Enterocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,0,0,0,0,0,0,0.28,0
21Day,0,0,0,0,0,0,1.11,0
3Month,0.1,0.1,0,0.1,0,0,0,0
22Month,0,1.37,0.41,0,0.41,0.14,0,0.14
