stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
72hpf,0.28,0.28,0,0,0,0,0,0,0,0.56,0,0,1.69,0.56,0,0,0,0
21Day,0.37,0.37,0.74,0,0,0,0,0,0,0.74,0,0,1.11,0.37,0,0,0.37,0
3Month,0,0.31,0,0.1,0,0.21,0,0,0.1,0.31,0.42,0,0.1,0,0.1,0.1,0,0.21
22Month,0,0.27,0,0,0.14,2.19,0.27,0.14,0.14,0.82,0,0.14,0,0,0,0,0,0
