stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.54,0,0,3.66,0,0.28,0,0,0,0,0,0,0,0,1.13,2.54,0,3.1,0,0.28,0,0,4.51,5.92,0,0,1.13,0,0,0.28,0,0.28,0,0,0
21Day,1.48,0,0,5.92,0,0,0,0,0,0,0,0.37,0,0.37,0.37,1.48,0,3.33,0,0,0.37,0,2.22,1.11,0,0,1.48,0,0,1.11,0.37,0,0,0,0
3Month,0,0.62,0.62,7.07,0.1,0,0.21,0.1,0.21,0.31,0,9.57,0.52,9.47,0.21,6.45,0.42,2.29,0.21,0,0.31,0.21,0.21,0.1,0.1,0.21,0,0.73,0.42,0.21,0,0.1,0.42,0.1,0.1
22Month,0.27,0.41,0.41,1.91,0,0,0.55,0,0.41,0.55,0.27,15.58,0.27,9.57,0,1.09,0.41,0.68,0,0.27,0.27,0,0.14,0,0.41,0.27,0,0,0,0.14,0,0,0,0,0.27
