stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0
21Day,0,0.37,0,0,0,0,0,0,0,0,0,0.37,7.4,0,0.37,0,2.59,0,0,0.37,0,0
3Month,0,0.21,0.1,0.1,0.1,0.1,0.73,0.31,0.1,0.1,0.83,0,5.51,0.1,0.21,0.1,0,0,0.83,0,0.21,0.1
22Month,0.14,0.14,0,0,0.14,0.14,1.78,0.27,0,0,0.14,0.14,0.82,0,0,0,0,0.14,0,0,0,0
